Account length,Plan,Customer service calls,Total Calls,Total Minutes,Total Charge,Churn
128,True,1,303,717.2,75.56,False
107,True,1,332,625.2,59.24000000000001,False
137,False,0,333,539.4000000000001,62.290000000000006,False
84,True,2,255,564.8,66.8,False
75,True,3,359,512.0,52.089999999999996,False
118,True,0,323,654.1999999999999,67.61,False
121,True,3,321,786.8000000000001,78.31,False
147,True,0,275,479.00000000000006,46.900000000000006,False
141,True,0,297,818.2,80.53999999999999,False
74,False,0,374,556.2,57.08,False
168,False,1,297,386.0,40.190000000000005,False
95,False,3,283,608.8,59.64,False
85,True,1,308,580.3999999999999,65.02,False
93,False,3,349,546.6,58.989999999999995,False
76,True,1,244,578.2,60.50000000000001,False
73,False,1,254,589.7,63.9,False
147,False,0,347,614.1999999999999,59.0,False
130,False,0,308,447.20000000000005,48.06,False
132,False,0,275,573.5999999999999,48.08,False
174,False,3,308,667.6,60.15,False
57,True,0,345,596.3,63.24,False
54,False,3,245,406.59999999999997,44.61,False
20,False,0,301,636.0,64.12,False
142,False,2,312,486.2,41.14,False
75,False,1,315,684.0999999999999,69.42999999999999,False
172,False,3,324,549.1,55.29,False
12,False,1,330,794.0,79.67999999999999,True
57,True,0,289,593.5999999999999,58.49,False
72,True,3,259,604.8000000000001,66.72,False
78,False,1,293,592.3,54.2,False
136,True,3,318,503.7,58.03,False
149,False,1,303,611.6,58.44,False
98,False,3,324,490.3,46.63999999999999,False
135,True,0,285,513.8,56.199999999999996,True
34,False,2,262,728.5,61.92999999999999,False
160,False,3,283,438.8,39.15,False
64,False,1,274,648.6,58.260000000000005,False
59,True,2,310,505.5,48.3,False
142,False,2,339,571.1999999999999,56.129999999999995,False
97,True,1,275,432.0,47.25,False
52,False,3,296,706.3,68.32,False
60,False,1,304,687.5,68.49000000000001,False
96,False,2,257,665.5,62.76,False
81,False,1,253,705.2,65.94,False
141,False,1,290,455.7,45.370000000000005,False
121,True,3,286,460.7,49.849999999999994,True
125,False,1,332,608.0,65.82,False
174,False,1,249,540.0,57.67999999999999,False
116,True,2,334,624.7,71.41999999999999,False
38,False,2,307,461.3,45.51,False
40,True,2,269,537.9000000000001,50.89000000000001,False
43,True,0,280,631.4,70.46,False
113,True,0,359,469.20000000000005,46.88,False
138,False,3,287,719.4,72.08,False
162,True,0,244,679.8000000000001,68.96,False
147,False,3,281,578.0,64.84,False
90,False,1,372,589.8,62.67999999999999,False
50,False,1,275,567.9,55.49999999999999,False
82,False,0,286,763.1000000000001,81.75,True
70,False,1,278,569.0,56.459999999999994,False
144,False,1,294,741.8000000000001,73.63,False
116,True,3,297,711.3000000000001,69.96000000000001,False
55,True,3,310,488.4,50.599999999999994,False
70,True,1,271,741.6999999999999,77.16000000000001,False
106,False,2,270,663.5999999999999,68.94,True
111,False,1,294,617.2,65.6,False
74,True,2,254,490.5,48.72,False
128,False,1,290,708.3,74.64,True
82,False,1,262,459.5,48.96,False
80,False,1,278,558.4,49.36000000000001,False
78,False,3,317,704.7,72.6,False
90,False,3,250,508.0,55.26,False
104,False,1,361,532.3999999999999,64.21000000000001,False
120,False,1,336,594.0,62.809999999999995,True
135,False,0,293,461.2,46.849999999999994,False
122,False,1,280,604.0999999999999,57.989999999999995,False
93,True,1,335,509.2,46.42999999999999,False
157,False,3,326,628.7,65.09,False
120,False,1,277,609.6999999999999,62.61000000000001,False
103,False,2,304,643.7,63.86,False
125,False,1,319,593.8,53.78999999999999,False
36,True,0,343,610.0,66.75,True
64,False,1,317,386.59999999999997,47.010000000000005,False
74,False,1,281,681.8,76.91000000000001,True
112,True,2,320,458.79999999999995,43.410000000000004,False
46,False,1,292,650.7,67.59,False
41,True,0,314,505.0,56.74,False
121,False,3,327,604.8,60.61,False
193,False,1,311,427.70000000000005,48.51,False
130,False,2,339,500.99999999999994,48.29,False
85,False,1,265,695.3,68.33999999999999,False
92,False,2,303,469.59999999999997,42.41,False
131,True,3,338,650.0999999999999,64.63,False
90,False,3,331,521.0,52.78999999999999,False
78,False,1,378,732.3,73.17999999999999,False
163,False,1,327,615.1,62.46,False
91,True,3,328,561.6000000000001,50.95,False
91,False,3,351,620.8,64.42999999999999,False
127,True,1,272,584.5,56.790000000000006,False
113,True,2,225,525.8000000000001,57.660000000000004,False
110,False,1,314,630.9,60.8,False
120,True,0,285,685.0,67.04,False
157,True,3,325,504.6,56.14,False
103,False,1,231,654.2,70.71,False
117,True,2,312,608.1,58.53,True
140,False,3,299,516.6999999999999,61.86,False
83,True,1,322,620.6,73.16,False
145,True,2,282,717.8,73.5,False
113,False,1,297,598.1,62.38,False
56,False,1,383,621.9,67.72000000000001,False
151,False,0,359,746.5,69.83,False
83,False,0,357,734.4999999999999,87.89,True
139,True,0,339,677.5,63.150000000000006,False
115,True,1,371,499.90000000000003,49.760000000000005,False
87,False,0,311,453.1,45.92,False
141,False,0,330,724.1,72.08999999999999,False
141,True,3,325,668.9,65.57,False
62,False,1,308,483.09999999999997,42.26,False
146,False,1,334,528.1999999999999,56.87,False
92,True,2,290,697.6999999999999,73.05999999999999,False
185,True,1,388,625.4000000000001,60.10000000000001,False
148,False,1,323,717.4,69.71000000000001,False
94,True,1,317,482.09999999999997,53.580000000000005,False
68,False,1,291,571.2,67.25,False
179,False,0,326,619.4,62.61999999999999,False
94,False,2,342,603.6,68.0,False
62,False,0,316,544.9000000000001,53.26,False
116,False,3,291,591.8000000000001,59.73,False
70,False,3,346,725.5999999999999,73.36,False
67,True,2,320,533.0999999999999,50.169999999999995,False
19,False,2,289,669.0,66.83000000000001,False
170,True,3,314,647.6999999999999,73.32999999999998,False
73,False,1,385,734.8,73.02,False
106,False,1,320,431.7,44.13,False
164,False,1,352,519.9,52.02,False
51,False,1,314,660.1,68.3,False
107,False,0,298,435.4,45.54,False
130,False,1,284,515.1,51.06,False
80,False,2,274,622.0,64.00999999999999,False
94,False,0,339,504.09999999999997,51.019999999999996,False
118,True,1,255,584.7,71.30999999999999,False
117,True,1,270,562.4,58.690000000000005,False
78,False,0,368,603.1,55.32999999999999,False
63,False,0,262,518.7,43.73,False
53,True,3,383,629.2,58.3,False
62,False,2,326,766.7,72.94,False
97,False,3,298,648.9,65.25,False
105,False,2,246,543.0,50.68,False
157,False,1,282,617.6999999999999,59.300000000000004,False
66,True,1,272,519.0,47.81,False
38,False,3,284,615.2,61.89,False
106,False,3,294,638.1000000000001,64.26,False
99,False,3,297,705.8,72.33,False
144,True,0,308,657.3000000000001,67.6,False
82,True,1,308,532.8000000000001,55.559999999999995,False
86,True,1,384,539.7,52.49999999999999,False
70,True,2,310,545.6,65.97,True
93,False,3,328,594.5999999999999,58.9,False
93,False,0,288,521.2,52.279999999999994,False
